input.sentences,output.sentences,persona.age
beyond the river there was a large city .,As we walked up the hill we were able to view the whole town below.,35-44
we decided to have our family reunion at the bowling alley for this year .,The bowling lanes are ready and awaiting the highly anticipated competition of the night.,35-44
listen for the drum - the beat of our hearts,Listening to the drummers made our hearts leap.,55-74
we spotted a cemetery on our walk and decided to investigate .,As I was walking I spotted something that needed to be investigated.,55-74
we started the night out at a local bar .,"This man approached me at the bar, with a pink rose in his mouth.",18-24
the man is looking for his girlfriend but does not know where she went .,There is a lot of leisure activities to do.,18-24
i reconnected with who i am and got a fair bit of writing done too .,"I got a lot of writing done as I reconnected, or at least a fair amount.",35-44
[male] was really close to his family and was very excited during dinner .,I was excited to escape my male-dominated family.,18-24
his parents showed up and congratulated him .,"But I found out it was a graduation, and all the parents congratulated their graduates.",18-24
there were many people of all races there .,Different races of people would come together.,25-34
today was a school carnival at the local elementary school .,THE PEOPELS WALK IN THE ROAD,25-34
before leaving | they made sure to visit the jelly fish . those were their favorite .,They visited the jelly as they were leaving.,18-24
this is us | we are happy with our boss today because he bought us a new toy .,Then at the end of the day we listen to our boss talk.,25-34
yan just turned 19 yesterday | i still remember her as a little baby .,He was talking about how yesterday he met a nice girl named Yan.,35-44
the ribbons were on display | showing what they were for .,The ribbons were put up on the display at the fair.,18-24
the scenery was like nothing i had ever seen .,And the scenery was enjoyable.,25-34
i could just stand outside and stare at the buildings .,I wasn't the only one to stop and stare at the architecture.,18-24
there where lots of booths there .,there were lots of cabins where to play,18-24
got caught doing a hamburger competition .,We went to a restaurant Bill and John had a hamburger competition.,45-54
it also involves sprinkles for the little kids .,"Then, we added sprinkles to it to make it tasty.",25-34
the city was beautiful and we wanted to see as many sites as we could before leaving .,The sky behind was grey and ominous looking,18-24
first the got to eat some fruits .,We always pack fruit for them to eat.,18-24
robinson ended up finishing first that day .,"At the last moment, Eric Sims passed Robinson, finishing first on this day.",35-44
my two children played until they were exhausted .,The children played until they were exhausted.,35-44
walking along a quiet trail is a great way to see the many treasures that mother nature gives us .,Today we will explore the wonders of the forest trails.,18-24
a big congratulations to my sweetheart and all of his friends ! !,My friends all receive congratulations from their sweethearts.,55-74
everybody was enjoying the celebration | and smiles were abundant .,And was very happy to be in the field.,25-34
see his hands | he puts so much emphasis on things .,Then goes on about the coming years goals.,35-44
she has some really pretty plants outside her house !,It was a beautiful day for him.,25-34
it snowed a lot !,"During the night it snowed, leaving a layer of white on the lot in front of the house, where I exited to head to the gym.",45-54
eating food and talking,The girls are getting some refreshing beverages.,55-74
the mascot for the local high school was bringing up the rear . i bet it was hot in there !,The school's mascot was in the rear of the parade.,25-34
a small stream runs through the park .,This stream runs through the middle of the park.,45-54
we had a very nice day shopping in the city.we each bought a nice tee shirt and had a nice lunch as well .,Even t-shirts with the teams catch phrases were a big hit.,55-74
do n't get me wrong | the snow is pretty | once you 're done shoveling .,People shoveling snow all wrong!,25-34
the adults rode in a canoe with some of the kids .,My husband and I rode with the kids in the canoe to make sure the children didn't fall out of it.,18-24
the town held it 's annual 5k race on a beautiful day .,My city was having a marathon and fair.,25-34
there is also a gravel trail going in to the woods .,Through the woods there is a trail strewn with gravel.,45-54
the locals came out to show support for the initiative !,There is a bouncy house seems like a lot of fun.,45-54
there was even an information sign up board .,But we should check the information board so we know what's goin' on.,55-74
we were waiting to get on the subway .,The people were waiting in the subway.,18-24
then there were blue ones that went up .,There were really pretty yellow ones too.,35-44
they had everything we needed at the little shop in case we forgot something .,Unfortunately while shopping she forgot to buy fruit.,18-24
one could never have too much fun at a halloween event .,What a fantastic halloween!,25-34
and do,He had a great time on the hike.,25-34
this is my sister [female] in her roller derby outfit . this was the first game of the season .,His mom was so proud of him.,25-34
the townspeople all gathered on the side of the road to watch .,People lined the streets waiting the parade.,18-24
the people danced for the crowd in the parade underneath the signs .,I think this is the end of the parade.,45-54
the eye in the sky series was popular .,The dog was ready to go.,25-34
[female] watched the show in awe .,THE GIRL IN LIGHT,18-24
he poured a number on one particular cupcake .,She concentrated really hard being careful not spill as she poured the cupcake batter.,35-44
we arrived at the park ready for fun .,This is where all the major parking will be happening once the park is open.,45-54
if i were very rich | i would own my own music store with lots of guitars .,"At first, the girl in the store was not sure she was rich enough to buy anything there that plays music.",25-34
i made him a very funky cake | with blue frosting and lots of dots .,"They had a cake  with lots of candles, funky decorations, and some frosting.",35-44
soon they all gave up .,Mom yelled at them to start working again.,25-34
[female] was the most excited to go on this ride | so i took a picture of her from the bottom .,Her favorite ride was the super long slide.,45-54
[female] decided she wanted to go to a organization organization at least once so she got the tickets and went with her friend [male] . she ran afoul of some trouble upon getting there .,His mom was so proud of him.,25-34
he was n't really used to windsurfing | but he eventually go t the hang of it | and he made it out pretty far .,AND BEFORE HE KNEW IT HE WAS WINDSURFING,25-34
i invited all my friends .,Friends join the man in the booth.,35-44
an important part of the summer is taking a trip to the local theme park .,The roller coaster climbed the tall hill.,25-34
i snapped a photo of this mountain hoping that one day we could climb it together .,Dad snapped great photos of the mountainside.,25-34
cosplayers enjoying some refreshments on the bench .,Even the parents like to join in the fun and dress up as some of their favorite characters.,35-44
the whole family is attending the graduation ceremony .,it graduation ceremony day family are going to visit,18-24
i visited the museum with my class yesterday .,IT IS A WINDOW,25-34
then we posed together .,Grandpa doesn't like taking photos but he gave in this time and posed for the camera.,35-44
two soldiers sneak around a wall .,The soldiers are positioned by a wall and must sneak nearby quietly,45-54
there was a marching band that passed by .,IT IS A BLACK CURDS,25-34
near the water,The path leads to one of these views.,35-44
a happy couple jogged to catch up with [male] . they just wanted to talk .,"And, I'm also gong to run in the 5K.",55-74
the group took pictures together .,My sisters and I all attended,55-74
the graduation had many students and alumni .,He had a great time on the hike.,25-34
[male] painted his face in hopes of being funny .,ONE BOY WEAR THE BAD MAKEUP,25-34
we took the kids to the park,They went on a school trip to the park,25-34
even many of the tools that were used on board .,They also had a typewriter on display.,25-34
we had a great time .,This couple is not dressed in couples costumes but they look great.,35-44
they are drinking wine for the cheering up in the party .,We started drinking wine and then it really turned into a party,25-34
there was sports memorabilia as far as the eye could see .,It was full of sports memorabilia and pleasing to the eye.,55-74
the candlelight service was very fun .,The candlelight service was fun.,45-54
the buildings were tall,We entered the city.,18-24
sometimes there are long wait periods in which a person only becomes more anxious .,Outside the other patients wait for long periods in person.,25-34
the adults stood around and watched to make sure that everything was going smoothly,Some would just watch so they can smoothly move to find others.,18-24
city hall has a green side door .,It makes me sad that not all the buildings are kept up.,18-24
we washed our baby in the sink .,Washing the baby in the tub was new.,18-24
the band members were very talented .,The drummer was the best.,18-24
two women are talking to each other .,THE DRINK THE JUICE,25-34
the liqueur was all lined up and ready to be poured .,All the liquor was poured and ready to go.,25-34
the roman building was visited by many,It was a great day to visit a roman building.,25-34
some of the caravans had unique and impressive designs | which made the whole event a visual feast .,The festival was unique and cute.,25-34
on a casual stroll through the mountain is so relaxing .,They also went for a relaxing stroll along the mountain side.,45-54
so we got a new tractor at work today .,A big black tractor is hauling a smaller green vehicle away.,18-24
her little brother smirks as he listens to [male] carry on with [female] .,Little Rob will be a great big brother for Chloe.,55-74
they were very inspiring how brave they were and that they never quit .,"ISSUES OF HATE WILL DESTROY CHILDEN AND YOUNG ADULTS, AND WE NEED TO HELP THEM DISCOVER WHO THEY ARE",55-74
she had her pom poms like a true cheerleader and champion .,It is always a fun day for all.,18-24
i had no idea what this vegetable was .,His mom was so proud of him.,25-34
they passed over several old bridges on their way .,We passed bridges along the way; they were very beautiful shaded by the trees.,25-34
spooky carved apples are set out for apple bobbing .,She set out spooky carved pumpkins.,55-74
my favorite store on the street did n't even have a sign .,"Luckily we knew what street the store was on, so we eventually found it.",18-24
they lived in the same house all those years .,We lived in that house for a long time before our grandchildren visited.,45-54
and took in the beauty of the sun .,The sun setting over the ocean is a thing of beauty.,55-74
boat riding on a petty summer day .,Riding the boats on the water makes a pretty picture and a happy memory.,45-54
it 's a beautiful place .,It rained so we came inside to this lovely cabin.,55-74
i saw an alligator .,Can't believe we managed to see an alligator!,18-24
i had a halloween party at my house .,The dog was ready to go.,25-34
we decided to go all out for the kids birthday .,The kids at the birthday party were silly and decided to play.,25-34
there was also a race of pig people .,These folks seems to be letting loose so he decided he could join them.,55-74
it really was a sea faring city .,There were many boats lined up in the harbor due to cloudy conditions.,25-34
we would never forget how wonderful it was to be together .,Im glad I have the photos so I will never forget.,25-34
on christmas eve there would be carolers .,The dog was ready to go.,25-34
i talked to some of the merchants .,We talked to some friendly merchants.,18-24
this couple just recently got married and they could n't be happier .,He had a great time on the hike.,25-34
the other group of woman were undecided but did point out a lot of vegetables they liked .,One of the women found a bug on her wrist.,45-54
there were tons of other people running .,There was tons of runners from all ages giving their best.,45-54
an intense political debate on the merits of plaid oxfords broke out .,Did you watch the race last night?,35-44
the band starts playing the bapfts fight song | and you can feel the energy a mile away .,Everyone in the crowd claps as they settle down for the assembly.,18-24
the whole project team is ready to party because the project was a success .,The team is ready to take on the world with success.,18-24
after the ceremony some hors d'oeuvres were served while the reception was set up .,And look at all that food!,55-74
beautiful ruins john loved his visit,He didn't have to tell me how much he loved his visit to the ruins.,45-54
their mom took this picture of the girls .,Mom wanted to get a picture with the girls.,18-24
some roads were not cleared .,Some roads got cleared faster than others.,18-24
a group of friends went out to have a night out on the city .,Several friends went out for the night in the city.,25-34
then some important people were honored .,The minister is renewing an older couples wedding vows.,45-54
military officials proudly stand next to the important man .,He and his wife posed with members of the military.,18-24
i was also impressed with the ability to take normal pictures .,"So that's what I did, and my pictures looked normal, and the county officials were even impressed!",35-44
this is the lookout point which we used to take the last picture .,The lookout is at a perfect location and the view is incredible.,45-54
after that the friends and family congratulated the couple .,Picture with the family is taken after the wedding.,55-74
people even offered to buy our furniture .,The wooden boxes turned out well.,55-74
the music played as she entered .,The music played as they entered.,18-24
suddenly everything became an interesting medium ; including trays of food !,They then decided to eat dinner.,25-34
i decided to have my graduation dinner the night after graduation .,The graduation dinner is tonight.,55-74
[male] guards stand guard as royal family and guests make entry into the building .,Then the limo stopped and the man exited to walk up the steps.,18-24
since [female] 's favorite flower was the rose | she chose to have white roses in her wedding .,I smell one of the beautiful white roses as we set up for the wedding.,18-24
next i mashed them all together and added some chopped onions .,The onions are chopping and mashed.,25-34
look ! this is yellow !,Once I got back on track I found this yellow object and took a close-up of the gear.,35-44
it was a hard-fought battle .,The team made incredible plays.,25-34
a speech was given by high-ranking officers .,They had some higher ranking officers give a speech.,18-24
the men 's hygiene stuff for the trip .,"For this trip we had packed plenty of stuff, especially for hygine.",35-44
i made a lot of food for our dessert party tonight .,Tonight I am preparing a dessert,35-44
dogs love children and love to play .,The kids love to play with the dogs.,18-24
we went to the local train station where we all bought eyewear for the trip .,"His daily commute involves a trip to the train station, where he passes many street vendors.",45-54
the vegetables were chopped before being put in a pan .,"Put your vegetables in a pan, take care that they are chopped uniformly.",45-54
we had a great time .,We all had a great time.,18-24
classic car collectors loved to show off .,"The next door neighbor's ""classic"" broken down in the middle of the street.",55-74
superman decided to take the night off from saving people and started drinking spiked punch .,I went to a party as Superman.,25-34
a man looks out upon the water of a wilderness preserve .,The wilderness featured a water preserve.,25-34
at the end of the hike i sat down and enjoyed this beautiful river . i ca n't wait to do this again .,It was serene and peaceful.,25-34
it was a great time,A biker with a bandana heads down the street.,25-34
there was also this random little treehouse off to the side . i 'm really not sure what it 's purpose was .,The treehouse seemed random and filled no purpose.,18-24
the couples then went into the prom .,Most of the couples wanted their picture taken to remember their prom.,25-34
[male] really enjoyed going to the fair . he rode the swings .,The swings at the amusement park were ridden by a male.,25-34
good friends posing for a photo .,All the friends gathered for a photograph.,25-34
this lady looked to be a rock star of some sort .,I liked the woman who was dressed as a rockstar.,35-44
ah | lunch time .,I bet I can bet you in the eating contest.,25-34
in this picture | they are on the way to visit with family and friends .,The happy couple take pictures and visit with their family and friends.,25-34
[male] noted that is made for particularly interesting selfies .,Another man peered into the camera.,45-54
my brother and i walked the sand covered waterfront .,they walked on the sand at the waterfront,25-34
there were so many fun events .,IT IS A GREEN GROUND,25-34
where one grave had a flower .,THE PICUTRE IS BEAUTIFUTHE PICUTRE IS BEAUTIFULL,25-34
i found a small cave to crawl into .,There were many damp caves to explore.,25-34
it is yummy too . we scarfed up more than half of it .,IT IS A CAKE,18-24
there was a small roller coaster | but it was really rusty and covered in muck .,The rusty roller coaster was full of muck.,18-24
the dinner was delicious | lots of curry and poultry .,"After getting him his TV, he cooked up lots of poultry, which turned into our dinner.",35-44
we went to the big youtube party that was held at the end of the convention .,The youtube party that was help had a nice stage with purple lights.,25-34
i went on vacation last week .,We took a vacation for a week and went to all the famous ruins in Europe.,45-54
i loved this dead-looking tree and felt it needed to be photographed in black and white .,IT IS A BLACK TREE,25-34
kids might enjoy experiencing flight,THE TAKE GROUP PHOTO,18-24
although there could only be one winner | we all enjoyed ourselves .,The winners enjoyed their recognition.,45-54
i stopped by a small town on my road trip .,IT IS A THINGS,25-34
i love [female] 's dress . black is much better than white for her .,The female wore white.,18-24
this was her old house .,"She gave me the address to this house, but no one here has heard of her.",45-54
the city is getting a makeover with new buildings being built .,The city was built with a makeover.,35-44
when he was small,The dog was ready to go.,25-34
the perfect flower bed .,The flower beds look perfect.,55-74
i bet this place has some stories to tell .,IT IS A GARDEN,25-34
we had fun making snowmen and playing in the snow .,HE IS ON THE SNOW,25-34
now i have kids of my own . they love going on the rides at the boardwalk .,Look at all those rides! I can't wait to ride on them.,18-24
but she 's learning .,His mom was so proud of him.,25-34
the poster was cool,It's race day and the sun is shining,45-54
we had lots of choices for food .,There are always new things to see in the shops.,55-74
this is another example of some amazing brickwork we saw .,History of the place is built right into the brickwork.,25-34
another man showed us some history .,The woman does an excellent job in explaining history viewing each slide.,35-44
other rides were already being covered with snow again .,Most of the roads were covered in snow.,18-24
it was a breathtaking scene once i was at the very top of it !,Now that is a good oicture.,25-34
grandmother is waiting for the bat mitzvah to begin .,Grandma came to see.,35-44
the performers were quite good .,There were many performers from different backgrounds.,25-34
and the priests are preparing too .,The priests are preparing for the ceremony.,35-44
we took a walk around the park to enjoy the sights and sounds .,IT IS A WAY,25-34
the water was very tranquil .,IT IS A FLOWER,18-24
check out this old car how cool,"Even the end of the procession was cool, we got to check out the interesting decorations on the car.",25-34
it was almost time for the bike race,It was about time for the bike race.,25-34
they tried each other 's to see if they were better .,As the night went on everyone started to goof around.,25-34
it is an intensive process | involving baking | basting | and molding chocolate .,"The process will be involving molding, and lots of patience.",35-44
outlines were drawn on the walls so students could fill them in .,They asked younger students to take outlines and draw fantastical creatures on the walls.,18-24
the audience really enjoyed the music .,The dog was ready to go.,25-34
i went the parade in downtown last week .,The people are gathering downtown for a parade,25-34
they also saw a pretty little church,"However, the old church was equally as interesting.",35-44
my friends were jealous that i was beating them and started making fun of me .,And was very happy to be in the field.,25-34
and she will eat your doritos if you do n't pay attention so watch out .,I also enjoy watching TV with my mom.,45-54
it is so good to join up and talk about the good ol days .,They talked and all joined hands.,55-74
the costumes were also great .,Everyone will have on crazy costumes.,35-44
the bell was so much bigger than i 'd expected it .,IT IS A BELL,25-34
some people in the parade even interacted with the spectators !,A dancer warms up the crowd.,25-34
my husband and i were in shock ! this place was here the whole time .,"You exist only for one thing: to be there for the rightful king of Britain to pull you out. It's very binary, but at least there's a view.",25-34
here is my friend [male] | he came out to support me .,My friend Joe heard I was playing so he came along with to play backup tambourine.,25-34
not all of the participants were happy to be soaked and scolded those with big hoses .,A family rides bikes together.,18-24
some very talented belly dancers danced by .,Hundreds of smiling people came marching down the street.,18-24
many of us enjoyed a walk near the water .,Everyone enjoyed the walk along the water.,25-34
they always have the big stuffed animals you can win .,There are dogs over there too,35-44
in the mornings | [female] leaves her house to volunteer and teach .,"Each morning Martin wakes up, goes downstairs, drinks coffee, and eats breakfast.",25-34
it is a rainy and dreary day but everyone has brought their umbrella .,"It was a rainy, dreary day, so everyone had an umbrella.",18-24
a delicious refreshment helped to cleanse the palate for the delicious meal .,The dog was ready to go.,25-34
on the couple 's wedding day | the bride proceeded down the aisle | seemingly not nervous in the least .,The wedding seemingly proceeded according to plan.,35-44
the kids also got to make ceramic hand-prints that were hardened in the fire .,"There was some chaos, but eventually all of the children were found, including these two stragglers.",35-44
anxious father 's look on as their daughter 's compete in the finals .,THE WATCH THE MATCH,25-34
my dad ate at the table without a shirt on .,Dad is a silly guy; he sometimes goes without a shirt.,25-34
the beach by the resort was jaw dropping .,Our family stayed at a jaw-dropping resort this summer.,35-44
we tool the trail toward the coast .,He had a great time on the hike.,25-34
there also a billy goat standing,The little goat struck a pose.,45-54
i took a picture with my family after the ride .,But she and her family also took in the sights.,35-44
finally the 4x4 arrives and people scatter to take their places for the scene .,It was a pretend commercial for a jeep.,25-34
he brought his wife and his kid with him .,"We got tired of them asking where the beer was, so we posted a sign.",55-74
after visiting for a while | it is time for the baby to go to bed .,A crib was empty and waiting for the child in a decorated room.,25-34
they say their final goodbyes | and head to their honeymoon .,The dog was ready to go.,25-34
the scenery is amazing and a sight to see .,The sights and scenery were amazing.,18-24
giraffes staring in the sun and looking,Something happened to my picture.,35-44
they stopped at the gas station for a drink .,But it blends in well with the rest of the tiny village's decor.,45-54
it wo n't be long now . mom-to-be [female] is all prepped and waiting for the doctor . it has been a long time coming .,The dog was ready to go.,25-34
the mommy duck was watching over the babies .,Mommy duck stood watching her little ones play.,35-44
there are so many color houses,The pastel color of the houses looked like something out of a fairtale.,35-44
wow | when is someone going to start this meeting ?,"One woman was so impressed with the decor for the meeting that she exclaimed ""wow!"" as we waited for it to start.",18-24
her friend [female] is pictured here listening to [female] talk to her .,We were looking at pictures and talking about different things,25-34
at a costume run | the photographer comes across an attractive woman .,The girl was running with a red wig on.,18-24
here are more traditional gingerbread ones .,They are traditional homemade gingerbread.,25-34
the drummer was very good .,The drummer was very talented.,18-24
some families got an early start and grabbed seats.so when their kids come to run and play | they are comfortable and ready .,We took our seats before the start of the run.,35-44
as the night wears on | the kids play and dance around . they will likely be fast asleep by midnight .,Any child that wears the hand of baal will not be sacrificed and gets to play through the night.,25-34
some walked on stilts .,And was very happy to be in the field.,25-34
the whole building was made from soft paper-like material . i think it 'll eventually fall apart soon .,The restaurant where it is served looked like a castle,25-34
then we went over here .,Dan missed the parade because he had to work but kept some fun colors in his office to cheer him up.,18-24
finally we came to a clearing that showed a path .,IT HAS A TREE,25-34
my brother had a great idea to throw a pirate themed party .,It was a pirate themed party.,25-34
there was a rocket making camp and the kids | both young and older loved it .,Rockets are always loved by kids.,35-44
the kids and i always dress up for halloween .,Joseph was upset that Tina showed up to the Halloween party dressed as a witch instead of Luigi.,25-34
[male] said | he knew where to get something .,One male I'd never met kept acting like he knew me.,35-44
the bride and groom listen carefully to the minister .,The minister listened to the groom's vowes.,35-44
we relax on the bench as grandma arrives .,I get to relax with Grandma.,25-34
there were also some that were too faint for me to capture .,Some were small and some were big.,25-34
some of the students took pictures to remember the event .,The students will always remember this day by looking at pictures,18-24
the dj 's and bands were incredible and we danced through the night . it was an awesome party .,The party and the night performances was incredible.,25-34
different musicians walk the streets playing their music .,Musicians walk the streets playing music.,18-24
the train is large and old .,Today I toured the train industry.,18-24
we went out to a club to celebrate .,They went to the club to celebrate.,18-24
she picked her up so she could get a better view .,the grandmother picked the little girl up and let her view the boat.,35-44
some needed a little help .,"They had a great time, holding hands and trying not to fall down",18-24
we took turns snapping pictures of each other .,With every snap there were some unique photos.,18-24
to the abandoned city,It looks like a city that has been abandoned.,25-34
they had 2 daughters | the oldest being [female] .,His female family members contained a daughter and two grandchildren.,25-34
they were even making products right on the spot for customers .,He had a great time on the hike.,25-34
it 's good that she did n't care to much because it would have been a shame .,The cousins all played together in their made up band.,18-24
the students began to walk across the stage to obtain their diploma .,"Confirming between them that the plan was set, the women amble to the stage as graduates and potential criminals.",25-34
this was the student center,The stutent center stands tall with its title bared proudly.,45-54
fido did n't quite know what to do when they got out the pinata .,While others prepared the pinata.,25-34
we had to close the trails for safety .,The family went outside and they saw that all of the trails were closed due to the snow.,35-44
the field was beautifully decorated for the event .,The field is decorated for the event.,18-24
the little red tricycle was always so fun to ride .,She loves her new tricycle.,35-44
the students asked questions to the teachers,The students passed the mic around to ask the teachers questions.,55-74
my grandparents let me use their waterfront property for the weekend .,Over the weekend we went to the waterfron to spend the night on my uncles property.,35-44
we get to see this old housse .,Many of the homes were made of mud brick/,55-74
they were having a giant pillow fight in the middle of the city .,And was very happy to be in the field.,25-34
while grandpa entertained the youngest members of the family .,Grandpa and the two boys were bored but curious.,25-34
eventually | we got in | and the kids had so much fun looking at everything especially this dog .,We saw this neat statue of a dog.,35-44
afterward there were a lot of pictures being taken .,"Suicide videos were made, to ensure the Glorious Dolphin's message would outlive those who delivered it.",45-54
there were several floors too .,there are cars on the street,25-34
the sermon continued .,The preacher then begins the regular church service.,45-54
the old house on the street has a lot of history behind it .,The old house on the side street has a huge lot.,45-54
there were a lot of people chatting together .,"At the party, an old man flirted with a woman that was way to young for him.",18-24
furniture was present and wooden .,All the wooden furniture was hand crafted.,18-24
every detail is important . this sculpture uses a small pick to inscribe small details .,It was amazing to watch the detail that went into them.,25-34
the new cinema had a successful opening day .,It was a successfl day at the cinema.,25-34
many people passed with skeletons .,Little did they know there was a Day of the Dead parade starting .  They decided to stay and watch the parade,55-74
finally ! dinner !,"When they made it to their destination, they were finally able to eat dinner,",25-34
people are running late and just getting there .,people keep coming from different places to attendt to the event,25-34
this man is jogging across a bridge .,"The runners in the marathon run a very long way, but at least it's a scenic route that passes by the ocean.",18-24
the statues were best .,"Why, hello; how are you?",45-54
then they watched the sunset .,"After being adopted as a young child, Matt never thought he'd learn much about his real family.",25-34
they were n't nervous .,Sheet music was pulled out and placed on the stands.,55-74
i also handed out utensils .,He handed out the utensils personally.,45-54
the met on the job and they 've been together ever since .,"When the photographer met the cop, he realized that being a police officer was only a job and not who he was all the time.",35-44
i went on a road trip last week .,Today is the day that we start our week long road trip.,35-44
this person was dressed up in some funny clothing .,People had lots of fun showing off their costumes.,35-44
it had a real cozy feel .,"The weather was looking delightful through the patio windows, it shouldn't be too hot to be an enjoyable day.",25-34
the ski lifts took him to the sky .,"As well interesting attractions, such as the sky lift.",18-24
the wedding reception buffet table .,THE PICTURE IS BEAUTIFUL,25-34
this has been an awesome adventure !,What an awesome adventure!,18-24
now you know where all the old backseat romance stories came from .,How could he keep this interior so clean?!,55-74
the sun shone through the palm leaves-it was such a pretty place .,The sun shone so pretty for this perfect day.,18-24
an entire string of referees were ready to take each others ' place .,"The the referees were all on the top of their ""game"" as well.",55-74
and of course | now i 've got my wings to fly !,If you can't give a good massage you may as well grow wings and fly away.,35-44
it started as a side project | but soon everyone became involved .,The project seemed impossible at the beginning.,18-24
there was so many interesting things to see during the parade .,"They all laughed at the skeletons in the parade, and that some skeletons were dog skeletons.",55-74
with some great tools to help as well,It looked like it would take some serious tools to fix this pave up so we left.,35-44
an army does n't march on its stomach and neither should crime fighters and superheroes . let 's eat !,snakes for a party are arranged,18-24
an couple sit and show off there costumes also,The third picture wouldnt show up.,18-24
the makeup artist was passing through and decided to stop for the picture .,Many pictures were taken of people passing by.,18-24
they look perfect when you apply them to a nice white card .,You pick a white card to help turn the red heart a different color.,35-44
we went to morocco,"Man, that water sure looks cold.",55-74
where did you go ? some on guys..,He went through the tunnels of the dome not hearing any ones voice and got really scared.,18-24
the next one is a sketch on feet . while this was an unique subject | i thought that the artist captured the feet well .,There was a unique subject to sketch.,18-24
the colonel spoke with the men in the office .,Quick hellos before the meeting.,35-44
i had to get gas .,We were glad to not need any gas.,25-34
at the shore | my friend had her picture taken by the water .,the coast line is a fun place also,25-34
some can fly high into the air .,Then Ted showed off his jumping skills.,25-34
the burger king man was at the party,It is Halloween and my friends are all dressing up.,18-24
my sister and her boyfriend made goofy faces for the camera .,Everyone was happy and having fun.,25-34
drinking beer in house .,Many were in the house drinking beer.,45-54
here is another closeup of the same bird showing its reflection in the water .,I love the gray on the expanse of his wing.,45-54
it was a very fun time .,He had a great time and lots of fun.,25-34
the farm serves fresh pizza made with its own cheese .,The day was concluded by a pizza at a local restaurant.,25-34
there is also a pretty cool statue .,There were simple statues.,45-54
things got so fun | he was actually swinging from the post in the back yard !,One of the men got a bit carried away after the party.,55-74
today is the day we test out our catapult .,Today the class tested the catapult.,55-74
outside i found yellow flowers and crossed off another color .,We wished it was outside with the yellow roses.,18-24
his brother helped blow out the his candles since he was n't old enough to yet,He helped the brothers light the candles.,18-24
people came in costume for the concert .,This year i dressed as lady gaga for the concert.,18-24
another round of runners are coming down now !,We can all enjoy our roadways even with the marathon is complete,25-34
the youngest named [female] .,The first female was named Eliza.,25-34
another was of a t-rex .,IT IS A SNOW STATUE,25-34
they really appreciate her kindness and all have a seat .,It was really nice because somebody gave us a seat,25-34
time to get something to eat .,"Everyone was included, even my little cousin Andrew!",18-24
they ended their day with a game at the park . overall it was a fun day,Next to the lake was a park that we decided to play a game of soccer that was so much fun!,25-34
the branch had been here for hundreds of years . termites got the best of it now .,There are also lots of tree branches with hundreds of termites.,18-24
it was a serene environment .,IT IS A PILLAR,25-34
the bridge was lit up beautifully .,The bridge is stunning with its elegant lights and stays.,35-44
this drawing | by a senior | won first place at the art fair . the student got a scholarship to a national art institute .,This photo granted my senior student a scholarship.,18-24
the award ceremony was packed last night .,"Last night, the ceremony was packed.",18-24
some of the artwork hanging was bold and vibrant .,As the tour progresses more typical wall art is shown,55-74
after the tour we were off to see the firework display,Our town's firework display at the end of the week is something to see.,45-54
these people all had a success story in them .,Some people gave a speech about their success story,25-34
but | the weatherman was right ! our storm came and left 3 inches of snow .,They had to plow before everyone woke up.,18-24
there are several different carnival cut outs here for the fair today .,"Our town's carnival is quite small, but that doesn't mean you can't have fun, though you do have to make it yourself.",45-54
they were also very glad that the race was over .,This is creepy uncle Ricky. He doesn't understand personal space.,25-34
my grandparents and i decided to take a picture of our exciting day .,The boy was excited to see his grandparents and wanted a picture taken.,45-54
i think we 'll return in a few weeks when summer is in full effect to take some more pictures .,"I leave the country in a few weeks, but hope to return when the summer season is at its finest.",35-44
the area where we live is near a lake .,But later we began to appreciate the view of the lake and the nearby village.,55-74
and it was fun for everyone,The trolley was fun and we felt like we were in a movie.,18-24
it was all about health - the staff even had fitness balls to sit on .,the staff took thier seats,25-34
we saw tons of art from famous artists before we headed back home .,All that miserable travel was worth it to have arrived in here at this sculpture.,25-34
he even passed out on the car ride home .,The group put the sleeping Hans into a cab to send him home.,45-54
i took [male] to his first big family reunion .,"Samantha had been sad lately, so to cheer herself up she took her son to a restaurant.",25-34
people come from all over to compete and almost the whole town shows up to support them .,It was fun with people on the sidelines cheering us on.,55-74
and | they were finally complete .,It was finally over.,18-24
he was appointed to talk at the assembly .,"Jaded after a failed attempt at standup comedy, Jefferson turned to a life of motivational public speaking.",25-34
this place is amazing,IT IS A GREEN COLOR,25-34
the students waited in line to receive their diploma .,All of the graduates stand together smiling with pride,35-44
judges looked on and quickly tallied the points .,None of the judges looked impressed.,35-44
then | they headed over to the reception venue for their very first dance as man and wife .,The venue included the last day after the reception with the wife still in her wedding dress.,25-34
okay | hiking really is n't my thing at all . but [male] offered to take me and take care of all my gear so i thought | why not ?,The driver offered the walking male a drive despite him hiking.,18-24
the fall was starting off wonderfully .,"The wonderful smell of autumn has hit the air, and that means fall has finally arrived.",18-24
they were very big .,The dog was ready to go.,25-34
the roof looked safe .,Becky was moving into her new apartment and taking pictures of the place for record keeping.,25-34
afterward the trail disappeared and we decided to head back .,They continued down the trail where the noise came from.,25-34
this was the table with the best hand made products and everyone agreed .,There were handmade products on the table.,18-24
some look like crystals .,This one looks like a gigantic crystal.,55-74
there was an old lighthouse that used to warn ships of danger .,I can see the views of the lighthouse guiding the ships.,25-34
