input.sentences,output.sentences,persona.age
"['it was the 4th of july and we were ready to go watch the most spectacular firework show around .', 'there were many fireworks that had amazing colors .', 'some of the fireworks were very loud and scared us like this one .', 'some of the fireworks made no noise at all | but they were still pretty .', 'the grand finale was great . there were many fireworks let off all together which made for an intense show .']","['They are ready to watch the spectacular fireworks.', 'The fireworks colors were amazing.', 'The loud fireworks scared everyone.', 'The pretty fireworks made a loud noise.', 'The intense fireworks were grand.']",35-44
"['we decided to watch the parade .', 'look it is a costume parade | there is spider man and jack sparrow .', 'there is chewbacka from star wars and maybe batman too .', 'this is a better batman .', 'everyone seems to be enjoying the little planes .']","['The children watch the start of the parade.', 'Child characters come to life as the walk the parade.', 'Chewy even decided to join the party.', 'The super heroes made their appearance.', 'At the tail of the parade comes the walking pilots.']",25-34
"['the festival began around noon .', 'people gathered in costumes to be part of the show .', 'there where lots of street performers to choose from .', 'plus | it had stuff for the kids .', 'after everyone got painted up and had some fun | we headed back out .']","['At noon the festival started.', 'Many people gathered and wore costumes.', 'There was a lot of street performers.', 'The kids has a lot of stuff to look at.', 'The clown had fun with his painted head.']",18-24
"[""we 're here at downtown location | location"", 'to commemorate a fallen soldier .', 'the beginning of the commemoration .', '[male] smith | a brave soldier and a father .', 'everybody looks so sad .']","['The location of this building is downtown.', 'The parade was to commemorate the fallen soldier.', 'At the beginning of the commemoration is the band.', ""The male soldier's name was Smith."", 'It is always a sad occasion for everyone.']",55-74
"['we started off our day with a yummy breakfast burrito .', 'then we went sightseeing on the bridge .', ""we passed by the fresh farmer 's market and bought lots of fruit ."", 'here are two of the friends that accompanied me .', 'we ended the night by going to a singing show .']","['the food was delicouldy prepared during the day', 'Mark chose to take the sandwich to eat it while he was sightseeing', 'then mark stopped by the market to buy fruit', 'he met his friend and took pictures', 'then he went with his friend to the concert ans started singing toghgether']",25-34
"['today the gang and i decided to go on a groovy adventure !', 'we went to the coast and found some really neat places .', 'old man jenkins even took us out on his boat . jinkies it was neat !', 'he took us to a neat spot and we were really excited !', ""this spot was really neat | but gang we did n't solve any mysteries ! back in the van !""]","['Gang of friends decided to take a trip in a groovy van.', 'We found the coast.', 'Seen some neat boats.', 'Found a neat spot and got excited.', 'Parked the van in spot and stayed the night.']",45-54
"['the organization organization organization were about to begin ...', 'the trophies were ready to be given to the winners ...', 'and | the games began !', 'following a fun day | they held a pride walk..', 'and | then they all gathered for the trophy presentation .']","['The organization for the event had begun months and months ago.', 'Finally, the events and the trophies for the winners were ready.', 'The entire office was ready to play games and have fun.', 'The teams walked with pride and held their signs high.', 'At the closing ceremonies, there was a presentation of trophies, and everyone had gathered to find out who won.']",18-24
"['people came in costume for the concert .', 'some people were taking pictures of the concert .', 'others had different signs .', 'the show was chaotic .', 'the band itself had a substantial light show as well .']","[""We're at a costume themed concert."", ""It's chaotic but really fun."", ""I'm going to get lots of pics of people, weird signs and the band."", 'They drew quite a large crowd.', 'The band played all my favorite songs.']",45-54
"['as a photographer this was a very nice car to take a photo of', 'and here is another of the same car !', ""this is one of the best pictures i 've ever taken this trip is so cool"", 'the next day we found this awesome place i wonder whats next', 'i wonder what this old building is | too bad its our last stop of the day']","['The photographer took nice photos.', 'we saw a beautiful car over there.', 'He took a beautiful pictures during the trip.', 'whats the things we found throughout the day', 'we finished our day by stopping near the building.']",12-17
"['we started on our way to the museum .', 'we passed by the beach which we would go back to later .', ""our kids almost could n't wait to get into the building ."", 'it was busy | so we had to wait for a while .', 'eventually | we got in | and the kids had so much fun looking at everything especially this dog .']","['We drove on the opposite side of the road.', 'When visiting the beach it did not feel like we were in another country.', 'Next we visited a tourist site.', 'I am in love with ancient architecture and history.', 'Inside we saw statues and information on royal animals such as this dog and cat.']",25-34
"['he loves getting his picture taken .', 'super excitement in this selfie !', 'the cute couple poses outside the bar .', 'these three are trouble .', 'only a matter of time before she broke out the glow sticks in the club .']","['THE MAN WAS SAD', 'THE TAKE GROUP PHOTO', 'THE YELLOW SHADOWING PHOTO', 'THE YELLOW SHADOWING PHOTO', 'THE YELLOW SHADOWING PHOTO']",18-24
"['the whole family came out for the wedding of their loved ones .', 'the parents were very proud to be included in the wedding party .', 'in tradition the bride was walked down the aisle by her father .', ""after the ceremony some hors d'oeuvres were served while the reception was set up ."", 'finally it was time for the reception | where everyone had a wonderful time .']","['THE TAKE GROUP PHOTO', 'THE TAKE GROUP PHOTO', 'THE TAKE GROUP PHOTO', 'THE TAKE GROUP PHOTO', 'THE TAKE GROUP PHOTO']",18-24
"['many members of the community gathered in the building to hear keynote speakers .', ""the topic was `` service to the community '' and everyone was eager to learn what they could do ."", 'the mayor even spoke | letting everyone know they were welcome to be involved .', 'although some doubted they could have an impact | others were sure they would be able to do something to make a difference .', 'at the end | a slide was presented with a lot of helpful points .']","['The dog was ready to go.', 'The dog was ready to go.', 'The dog was ready to go.', 'The dog was ready to go.', 'The dog was ready to go.']",25-34
"['there were a lot of people at the photo shoot .', 'we had a lot of fun taking crazy pictures .', 'i invited all my friends .', 'we took turns snapping pictures of each other .', 'we did this for hours .']","['It was time for them to shoot the movie.', 'They took a lot of pictures.', 'They invited their friends and gave directions.', 'They donned silly hats.', 'And showed each other their best moves.']",35-44
"['we gathered for the fireworks .', 'the crowds got bigger .', 'it wa a beautiful night .', 'the fireworks were amazing .', 'we loved all of them .']","['It is a warm summer night', 'We have all gathered for a family tradition', 'We watch the entire town come together', 'The fireworks begin to fill the night sky', 'The fireworks are so colorful']",35-44
"['we went to the beach today .', 'it was very sunny outside .', 'we had a lot of fun walking along the edge .', 'there was a lot of things to see .', 'it was a very fun day .']","['Going to the beach is always a great idea when its sunny.', 'The water is clear and always warmer to play in.', 'As you walk down the beach you can easily look for shells.', 'You can also follow along the fence if you dont want to be close to the water.', 'Overall the beach can be a great fun day when it is sunny.']",25-34
"['there were propaganda posters for location on display .', 'they were advocating for new homes .', 'they emphasized the rate of homelessness in the country .', 'they featured effective imagery and wording .', 'they really highlighted how bad the problem was .']","['IT IS A BLUE ADD', 'IT IS A BLUE ADD', 'IT IS A BLUE ADD', 'IT IS A BLUE ADD', 'IT IS A BLUE ADD']",25-34
"['we had a great time this weekend', 'the fireman showed how to do thier job', 'the coast was pretty', 'there are so many color houses', 'in the end everyone was happy']","['It was a peaceful day at the park.', 'Until the fire department had to hose down a small fire.', 'We then drove to the beach.', 'I had to go to the bathroom.', 'When I cam out, there was a llama!']",18-24
"['welcome to the coastal celebration . this was the second place we visited .', 'the meeting hall in the coastal . no one came early !', 'what a great view we had of the ocean . right before the sun shined .', 'some of the best coffee you will drink is here | at the location location .', 'on the way home from a great meeting . we will see you soon coastal celebration .']","['We went to the seashore to participate in the annual coastal celebration', 'We found a couple of tables quickly before it got crowded', 'It was too cold to sit outside,evident by the empty chairs', 'Inside there were many displays and a lot of coming and going', 'Traffic was insane going home']",75YearsOrOlder
"['i had a great time bowling last weekend .', 'i invited all of my friends to join me .', 'some of them were very good bowlers .', 'i did the best i could .', 'there were a lot of people bowling that night .']","['This weekend we had a great time bowling.', 'We invited some friends to join us.', 'All of the bowlers had a great time.', 'Even my picky brother.', 'People enjoyed the night a lot.']",18-24
"['here we go | hiking through the wilderness .', ""do n't look down !"", 'climbing these stairs wore me out . but i made it .', ""crossing this bridge . i 'm so excited to see !"", 'the view from this angle is just breathtaking .']","['I was hiking in the wilderness', 'I got some many breathtaking views of rapids', 'I confess down the stairs to get a better look', 'I got excited about crossing the bridge', 'It was an excellent trip']",35-44
"['last week i got lost in downtown and wandered around for about an hour .', ""i parked my car in a garage and then i could n't remember which street it was on ."", 'i walked around for about half an hour before i stopped to ask for directions .', 'eventually i found the correct parking garage where i had parked .', 'but unfortunately i took so long to find it that it was now rush hour .']","['Last week I wandered around the city and got lost.', ""I couldn't remember the street I parked on."", 'I walked for an hour then I stopped for a break.', 'I finally remembered I parked in the parking garage.', 'When I finally found my car, it was rush hour.']",45-54
"['this owner was well prepared for a glass of tea .', 'his partner gave the lecture for the day .', 'he also had a supporting presentation .', 'their team was effective in teaching us the principles .', 'there were a lot of pictures on the wall .']","['John prepared tea and sat down to talk to the owner of the house about selling it.', 'John is an agent at a real estate firm, where he often hears stimulating talks, including a lecture today.', 'John often offers supporting presentation.', 'Team work is valued at the firm and senior staff often presents teaching principals that support work bonding.', 'The lobby of the firm has a wall full of colorful pictures, a lot of them, which are added to often.']",45-54
"['last year we had a nice relaxing christmas .', 'it was me | mom | my brother and his girlfriend .', ""oh | but we ca n't forget about the cat . he was there too ."", 'i really got into the spirit and started dancing in the kitchen .', 'then my brother and his girlfriend gave a speech that ended the night very well .']","['Everyone is gathering for Christmas.', ""I can't remember if i have a present for that cousin or not."", 'Even the cat is relaxing.', 'When all else fails, try dancing to break the ice.', 'When dancing fails, try a joke.']",18-24
"['stained glass religious windows from inside the old church .', 'the beatufil pulpit', 'an image of christ in another window .', 'a shepherd in another .', 'this church has amazing artwork within the windows .']","['This church had the most beautiful stained glass windows.', 'I wonder what it would be like to speak at this pulpit.', 'St. James watches over the pulpit day and night.', 'St. Anthony is in a window located in the back of the church.', 'St. Jermaine is hidden in the back.']",25-34
"['this city is beautiful after the snow .', 'look at the ice on the river . what a great picture .', 'here is another view . the sky is crystal clear today .', 'the sun reflecting on the houses . colors are so stark .', 'walked over to the park . these monuments are looking great today .']","['This city is beautiful in the winter.', 'The river channel is starting to freeze over.', ""I think we'll just take a walk along this beautiful street"", 'What lovely historic buildings!', ""I think we'll stop at this museum and see what's here.""]",45-54
"[""`` is it time to open my gift ? '' grandpa asked ."", '`` sure . go for it . `` | exclaimed his granddaughter .', ""`` hey ! it 's free year membership to the bacon of the month club ! '' said grandpa ."", ""`` did you say bacon ? '' exclaimed the dogs as they ran toward the family ."", '`` bacon ? no | all i got was the teapot . `` | grandpa said to the dogs']","['When the time came, grandpa began the gift giving.', 'Granddaughter exclaimed it was time, called in the family dogs for their gifts.', 'First gift was a one-month membership at doggie gym.', 'The family dogs ran about and the family exclaimed.', 'The next gift was a teapot with tea for dogs.']",55-74
"['[male] sang his rendition of [female] the beautiful .', 'everyone in the audience joined in to express their patriotism .', '[male] asks the audience what they want to hear .', '[male] played the drums with gusto', 'he jumped for joy during the performance .']","['Jock rock is mostly guys badly playing and singing team anthems.', 'They join in songs that express their team patriotism.', 'The audience hearing this is always all male.', 'The more they drink the more gusto in their playing.', 'Gusto leads them to fits of joy and jumping over things.']",55-74
"['our trip to location was spectacular .', 'the old churches were breathtaking .', 'the masquerade was happening all around us .', 'we really enjoyed this juggler .', 'this old church was by far our favorite attraction .']","[""My first trip to Europe;and it's everything and more;look at how people travel to and fro on the cananl,like we do on the highways back home."", 'The cathedrels are impressive.', 'One of the Spring events is the masquerade parade.', ""And ofcourse we can't miss the jugglers,and hope they don't fall flat."", 'This was the last of the church tour and the most beautiful of all.']",55-74
"['the inside of the glass building was beautiful with different colors .', 'the moon art work was a brilliant blue .', 'the walkway near the water was landscaped nicely .', 'the sun was reflecting of the ocean nicely .', 'the bridge was lit up a bright blue in the night .']","[""Before stepping outside I admited the glass inside the atrium with it's beautiful array of rainbow colors."", 'This glass moon shone a brilliant blue as the sun shined on the building.', 'The nicely laid out walkway near the water provided a perfect place for my evening stroll.', 'I paused to watch the sun set reflecting in the calm ocean as it dropped below the horizon.', 'As the dark of night descended, the bridge lit up with bright lights.']",45-54
"['here we are lining up for the fun run .', 'on you mark | get set go !', 'running in this costume is not so easy | but i see the finish line', 'the people cheering as we finish the run .', 'afterwards | we had fun on the giant slide']","['THEY PEOPLE IN ROAD', 'THE BIG WHITE TOY IN THE ROAD', 'THE PEOPLES IN ROAD', 'THEY PEOPLE ARE VERY HAPPY', 'IT IS A SHARHOS']",25-34
"['i love to travel', 'this place is amazing', 'so much to see', 'and do', 'i will be back']","['Civilized ladies and gentle gather indoors.', 'Sometimes they also meet in the streets.', 'Anything can happen, like angels appearing in the coliseum.', 'No matter what, Ivory can wash away the grime and your sins.', 'It will get you back to the frivolity of the street and civilization.']",45-54
"['on the day of the big race many people watched the bridge from afar .', 'the runners were running at a nice pace and staying healthy .', 'everyone was walking around the event enjoying the good time .', 'some people dressed up and just walked the race for charity .', 'after the race the winner and host of the race talked to everyone .']","['The people watched the race.', 'The runners were staying in place, running.', 'It was about time for the event, so the runners starting walking over.', ""The people who weren't in the race walked to the sidelines."", 'After the race, the winner talked to the local t.v. station.']",25-34
"['i had a great time at the cemetery .', 'i went there to pay my respects .', 'there were a lot of gravestones .', 'i put flags in all of them .', 'it was a lot of work .']","['cant believe people still think this is okay', 'I have no words', 'only respect for our fallen soildiers', 'its so bright out', 'we come here once a year']",25-34
"['this woman traveled around the world .', 'however | she did it in eighty days .', 'then | she began her presentation .', 'there was a lot of planning involved for the trip .', 'lastly | she showed the concept of her venture .']","['Sharing her world views this woman experienced while traveling.', 'She had gone in eighty days around the world.', 'Today she was holding a presentation.', 'She shared how the trip took planning but was a lot of fun.', 'She shared her venture and lastly her next concept for the book.']",25-34
"['while on vacation | we went to a beautiful church .', 'once inside | the foyer had these wonderful arches .', 'the intricate sconces were incredible .', 'this church was set into a generous countryside .', 'sunset from the church window was the perfect sight to end our day .']","['The Vatican is a beautiful church and adorns the European streets.', 'The inside foyer is ornated with a wonderful watering hole.', 'Upon exploring further, instricate sconces decorate the incredible prayer room.', 'This beautiful church is nestled in the heart of the countryside.', 'Gazing out a stained glass window, a angry sunset can be viewed.']",25-34
"['it was a beautiful day to play a round of golf .', 'everyone took turns teeing off .', 'they remembered to wear hats as protection from the sun .', 'they carefully lined up putts .', 'they were careful to keep score .']","['It was fancy hat day and Bill was excited to show off his hat.', 'Bob had a cowboy hat, that was his favorite.', 'Joe had a fedora, this was the only day he could wear it without being made fun of.', 'He wore his fedora golfing, his favorite sport.', 'To end this great fancy hat day Joe ate ice cream with his friends.']",18-24
"['people gathered at a temple for a jewish ceremony .', 'scriptures were unrolled and documents were read .', 'the members gathered at the altar during the ceremony .', 'afterward friends posed happily for photographs .', 'a young couple were very happy to have participated in the ceremony']","['He had a great time on the hike.', 'He had a great time on the hike.', 'He had a great time on the hike.', 'He had a great time on the hike.', 'He had a great time on the hike.']",25-34
"['we had a christmas party . [male] was pretty drunk by this point .', 'so was geraldo .', 'here are some of my buddies looking so happy together .', 'geraldo started dancing with all the girls . it got kind of awkward .', ""i do n't know what was going on here but it sure was funny .""]","['Holidays are full of funny,goofy picture taking;like my cousin Ernie', 'I have no idea what my brother is trying to say to the camera', 'I like it better when my brother smiles,like in this picture', 'My brother and me,in front of the tree.', 'Are theyy playing a new version of Twister here?']",55-74
"['she was almost ready to walk across the stage at graduation .', 'the crowd was excited .', 'first | the keynote speaker gave a speech .', 'she proudly walked across the stage .', 'her family was incredibly proud of her achievement .']","['She was ready to walk up to the stage.', 'The crowd was clapping with excitement.', 'She sat and listened to the speech.', 'She proudly accepted the diploma.', 'Her family celebrated with her in pride.']",18-24
"['i decided to go on vacation this year .', 'we went to location as a family to see the historic things there .', 'here is a great shot of the entire town .', 'this was an interesting building with a lot of history', 'we had a great time and plan to go back next year .']","['The coworkers were on a vacation and decided how to spend the trip.', 'One of the locations they went to was a historic family place.', 'They made sure to see the town and shot an entire roll of film.', 'It was interesting to see the lot and hear the history of the building.', 'We got together the next day to figure out how to spend our time and plan more.']",25-34
"['it took us a long time to drive to location .', 'when we got there the first thing we did was go to the beach .', 'then we explored all the shops and streets .', 'there were not many people out .', 'the cathedral was my favorite building .']","['the road trip begins', 'so happy to arrive at the beach', 'they have such cute buildings here', 'starting on our walk', 'what an old building']",25-34
"['walking tour with friends of the fancy homes in town .', 'not really a fan of the blue shutters on this one or the red brick .', 'saw this in one of the driveways ... this i would take .', 'i do like the blue shutters on this one though . i could live here .', 'love the doorway on this one . i could live here too .']","['we went to an old southern neighborhood this afternoon.', ""it was full of old houses from the 50's."", 'there was an old model t in the drive way.', 'the architecture was beautiful', 'we had a great time visiting the homes.']",25-34
"['[female] and agatha were making an inventory list of books .', '[male] had the job of unpacking all the books .', '[male] had to stack and alphabetize all the books .', '[female] sent [male] to see if a new shipment of books arrived .', '[male] set up his computer so he could start entering data into the computer .']","['THE MAN SING THE NOTE', 'THE MAN DO SOME WORK', 'THE MAN READ THE BOOK', 'THE ARE WATCHING THE MAN', 'THE MAN WAS DOING']",25-34
"['the parents were cheering on', 'the finishers of the race .', 'the guy was excited to finish', 'before all the other people .', 'they all celebrated that night .']","['Parents cheered the racers on.', 'The sound of shoes hitting the pavement responded to their cheers as the racers finished, out of breath.', 'A guy wheezing, completely winded, made it past the finish line excited and prideful.', 'People gulped down breaths of air slowing their heart rate.', 'Hours later, the racers went out to celebrate and to eat all the calories they burned off on their run.']",18-24
"['the store front was in view .', 'we stopped for nuts .', 'they had a great variety .', 'then we rode the ferris wheel .', 'our last stop was the mock castle for photos .']","['I was at the office and got very hungry.', 'I left and walked down the street to buy hot roast chestnuts from a street vendor.', 'Then, I went into a shop for some hard boiled eggs.', 'I strolled down to a street fair and took a ride on a ferris wheel.', 'The view from the top of the ride was amazing.']",55-74
"['we went to a local aquarium .', 'we saw orange jellyfish .', 'then we saw some schools of bony fish .', 'there was a huge fish swimming the tank too . he looked mean !', 'lastly | there were some smaller fish who lived in reefs . they were very colorful !']","['They went to their local aquarium for a day out.', 'They saw an orange jellyfish in a tank.', 'There was also a school of bony fish swimming in the same tank.', 'They looked at a large fish swimming in the tank.', 'Lastly they say the reefs and the fish that live inside them.']",25-34
"['we attended a family members wedding with our parents .', 'my sister and her boyfriend made goofy faces for the camera .', 'they her and my aunt put on silly sunglasses .', 'our cousin made a very touching speech that made my aunt cry .', 'after the wedding we went to see the statue of liberty .']","['The parents are enjoying the wedding.', 'The sister is being goofy for the camera.', 'Then the aunts decided they needed some silly glasses for the picture.', 'Seems like somebody got emotional and started crying during the speeches.', 'The beautiful statue of liberty at the end of the night.']",25-34
"['jackons birthday has arrived ! we have a carrot cake !', 'we are so happy grandpappy was able to come !', 'ok [male] - get ready ... 1 ... .2 ... .3 ! ! ! make a wish .', 'look at grandpappy - he is shooting some hoops ! go grandpappy | go ! !', '[male] was fortunate to have friends and family for his birthday celebration .']","[""It's nice to celebrate with family."", 'Young and old are here for the party.', ""We're all ready to begin the celebration."", ""It's great just to spend time having fun together."", 'We are all very lucky we were able to get together today.']",25-34
"['my girlfriend is a very beautiful woman .', 'she can be playful at times .', 'no matter what she wears she always looks good in it .', 'she is somewhat unpredictable but i like that about her .', 'yes | my girlfriend is beautiful and i love her very much .']","['Selfie time I hope people like it.', 'One more selfie to look alluring.', ""I hope someone thinks I'm hot."", 'Another pic I hope somebody likes it.', ""Someone please look at me I'm lonely.""]",35-44
"['this is a beautiful old house .', 'can you believe it was made in 1672 ?', 'it has only been refinished once !', 'and still has all of the same furniture !', ""this is my sister | she 's awesome .""]","['There was a white house on a hill that I liked.', 'I always stared at this beautiful house.', 'The front porch was so Antebellum.', 'There were lots of trinkets inside the house.', 'I met the couple who owns the house.']",25-34
"['it was a very quiet day in the town', 'this was the student center', 'all of the old buildings were abandon', 'not a soul around for miles and miles', 'this was a ghost town !']","[""It's a quiet day on the town with tall buildings looming in the distance."", 'The stutent center stands tall with its title bared proudly.', ""An abandoned building sit's beside an aging walkway."", 'The soul miles go down the road past the propane tank.', 'As the city turns into a graveyard ghost town.']",45-54
"['there was a running marathon today .', 'it was great seeing the seniors running .', 'the view was also beautiful as they ran .', 'afterward | we had some soup and bread .', 'there were also a bunch of snacks and food for after the run .']","['Today I ran my first marathon!', 'All kinds of people were running; some young, some old.', 'Some of the views along the run were breathtakingly beautiful.', 'After the marathon we were given a hearty meal of hot soup and bread.', 'We were also given delicious snacks.']",25-34
"['the man was outside exploring the world .', 'he saw a tree from his childhood and wanted a closer look .', 'he saw the lake and it reminded him of the trips he used to take there with his grandpa .', 'he walked around the lake taking in new perspectives .', 'he enjoyed it a lot and stayed many hours there .']","['IT IS A GARDEN', 'IT IS A TREE', 'IT IS A MOUNTAIN', 'IT IS A EVENING TIME', 'IT IS A MOUNTAIN']",25-34
"['we took the kids out to enjoy the holidays', 'first the got to eat some fruits .', 'then we took them to the park to play', 'after they got to show off their clovers', 'it was a great day with the kids .']","[""We're having a field trip today in 1st grade."", ""We're having fun out at the farm."", 'The children are learning lots of different things.', ""They're having fun learning."", ""They don't want to leave.""]",25-34
"['over the weekend we visited the local park .', 'the park had some amazing sights and wildlife . here i took a picture of a beautiful violet .', 'there are some rock climbing and hiking areas too for kids and adults .', 'we discovered a birds nest while were hiking up the trail .', 'this encounter was exciting and scary at the same time ! we encountered a snake while we made our way down the trail .']","[""This weekend we visited the park where there's tons of grass"", 'next we walked through the park to find violet flowers', 'After that we went rock climbing and we took pictures of the plants', ""we then went hiking and we'd seen a nest of birds on the trail"", 'Finally, we stopped with our last thing being a snake seen stopping us in our walk']",35-44
"['the old ruins had many secrets .', 'archaeologists have dug up many neat things .', 'they found old tools for mashing things .', 'and they also found old coins .', 'this is an example of ancient pottery .']","['These are the ancient ruins of a Nordic family home.', 'The archaeologists uncovered what today we would call a living room.', 'It included some tools and primitive table for cooking.', 'The walls were covered with a patterned rock.', 'Lastly, they discovered some primitive art.']",25-34
"['my brother and i went to an activities workshop in town .', 'i had fun learning how to play a piano .', 'the other people in attendance were all very nice .', 'i even went to a meeting in which we discussed future activities .', 'at the end of the day | those in attendance took a group photo and we all had a good time .']","['A girl attended a workshop in town with her brother.', 'She was successful in learning to play the piano.', 'The people in attendance were very nice to her.', 'They discussed plans for the future in the meeting.', 'When it was time to end, they took a photo at the end of the day.']",45-54
"['i was going to see some old buddies of mine .', 'when we got to the restraunt sam and mike where already there .', 'we hit it off well once again . i did not think we would not | but you never know .', 'we even ran into josh while we where out . he seemed rather surprised to see us as well .', 'in the end though i was sad to leave their company . my life however takes me far away from them .']","['Ron and Ethel are good friends of mine.', 'This is Sam kissing Mike at the restaurant.', 'Scott wanted to hit me for taking his picture.', 'Christine ran over and surprised Josh!', ""Someone takes Bob the Builder's sad life.""]",45-54
"['we managed to bike way out here | into the middle of nowhere .', 'and it was such a beautiful and fun trip .', 'the only sign of civilization were those antennas .', 'what a view from up here !', 'and of course the ride down is always more fun !']","['In the middle of our vacation, we managed to get in a great bike ride.', 'The bike trip up the mountain was fun and beautiful.', ""Most of the time, you couldn't even see signs of civilization except for occasional antennas."", 'The view was unspoiled.', 'Going on a long bike ride was fun.']",35-44
"['peddling off down the street for exercise .', 'biking to the market for some shopping .', ""it 's a chilly day so the woman is wrapped up for warmth ."", 'two friends meet for a bike ride .', 'riding in the city is always worrisome .']","[""I couldn't find what I wanted."", ""The images weren't there."", 'I searched and I searched flickr.', 'Every time I clicked on a link I was hopefully that I would find something', 'I never did though.']",25-34
"['this man is at the beer tasting .', 'he brought his wife and his kid with him .', 'the little girl wants to try some beer .', 'this little dude tried to get into the jager .', 'dad had fun drinking .']","['It started off as a mellow afternoon.', 'We ended up getting several drinks and a bucket of beer.', 'My son and wife decided to stop by on the way home.', 'My son was having a ball.', 'Perhaps he needs a girlfriend to play with.']",25-34
"['i just left work when i came upon a car that flipped over .', ""it was so close to the cement blockade but it did n't quite reach it ."", 'there was no one in the car | thank goodness | but it looked pretty beat up .', 'there were other people around besides me to see if the owners needed help .', 'i left the scene shortly after taking pictures .']","['The police arrived at the scene of the car accident and found an overturned car.', 'The impact caused a lot of damage to the car.', 'Despite the severity of the crash, there was no blood or people in the car.', 'A crowd started to gather from all the commotion from the police.', 'The police still need to investigate, so the car will need to stay in place until they are done.']",25-34
"['this man is at the beer tasting .', 'he brought his wife and his kid with him .', 'the little girl wants to try some beer .', 'this little dude tried to get into the jager .', 'dad had fun drinking .']","['THE MAN WAS THE TRANK', 'THE PAPER IS THE WRATING', 'THE MOTHER IS AND BABY', 'THE BABY WAS THE WATER', 'THE PAPER IS THE HAND WRITING']",25-34
"[""we 're having a girl ! ! so exciting !"", '[female] was so surprised . and the guests start pouring in .', 'her favorite cake | with the whiped cream icing was made .', 'and now to opening presents .', 'this is going to be one spoiled little girl !']","['My best friend is having a baby girl, and it is so exciting to throw her a baby shower.', 'My friend was so surprised that she was going to start crying, but we started pouring apple cider and she was very happy.', 'I got her a sheet cake with whipped buttercream icing, and it is her favorite.', 'Then we played games like ""Name That Baby"" and she had so much fun.', 'She thought that we all went overboard on the gifts, certain that she would have a very spoiled little girl.']",25-34
"['we attended a rally to stop hate violence', 'there were a lot of people there', 'we met a very cool couple along the way', 'we marched all the way to the capital building', 'we had our picture taken after it was all over .']","['The protest started small.', 'And gained momentum later in the day.', 'The people were passionate.', 'They protested outside the capital.', 'They were not going to back down.']",25-34
"['this japanese building holds a very unique garden in it .', 'the building stands tall as it is a few stories high .', 'behind it leads the way to an outside garden .', 'a path displays a very interesting walkway for people .', 'with all sorts of statues to look at while walking .']","['I could see the great architechure from a distance and wanted to get closer to this beautiful building.', 'When I arrived near the five story building too beautiful for words I wondered how it was built.', 'Later on I saw a painting of the magnificant building I visited and it did not do justice to the real thinng.', 'I viewed so pictures painted of the Orient and thought the paint used was dull and did not do justice to the real thing.', 'I wondered about a second painting of the same art work with a view of it in the back ground behind a statue of a large gurard dog.']",75YearsOrOlder
"['we had a lot of work to do to prepare all of the food for tonight .', 'i cut up some avocado .', 'i made a salad out of it with some pecans .', 'i also served some wine .', 'the meal was delicious .']","['The Asian dish is still being cooked.', 'The avocado is being prepped for the side dish.', 'The dish is brought to the customer.', 'Two glasses of charlot wine for the diners.', 'A male snaps a picture for his post.']",18-24
"[""i went to my brother 's graduation yesterday ."", 'he was so happy to be there .', 'so many people were there graduating .', 'some of the teachers even gave speeches to all the students .', ""it was a really great day and i ca n't wait till is is my turn next year !""]","['It was finally here, the day we had been waiting for.', 'Our son was graduating with honors from Penn State.', 'We looked on with pride as the graduates made their way one by one to the stage to gather their diplomas.', 'The mayor was there to give a speech on perseverance.', 'All the graduates looked on in awe and wonder, young kids ready to take on the world.']",45-54
"['[male] and his friends spent the day in country .', 'they found a military cemetary .', '[male] found a headstone with his name on it .', 'then they watched the sunset .', 'the ocean was calm and peaceful']","['Recently, I took a road trip with some of my friends.', 'Along the way, we found a military cemetery so we decided to stop.', 'We found some very interesting headstones, and we ended up spending a while there.', 'We stayed long enough to watch the sunset, which was beautiful shades of pink and purple.', 'We decided to go down to the shore to enjoy the sounds of the ocean.']",35-44
"['the girls love to play dress up and attract attention !', 'the farm was brilliantly designed and artwork to us !', 'we had a birds eye view of the area !', 'the waterfall was breathtaking as we enjoyed exploring on our vacation .', 'the mountainous terrain was glorious in every way !']","['They play with Love Girls on Saturday.', 'The farm was designed brilliantly.', 'Here is a birds eye view of my block.', 'This waterfall is a great spot for a vacation or even exploring.', 'The mountain terrain is glorious.']",25-34
"['everyone gathered by the waterfront for the parade .', 'there were many who walked down the street that day .', ""the bagpipe players were everyone 's favorite ."", 'the guys even decorated their truck .', 'last but not least | the kids made their way down the street .']","['IT IS A RIVER', 'IT IS A MAIN ROAD', 'IT IS A MAIN ROAD', 'IT IS A MAIN ROAD', 'IT IS A MAIN ROAD']",25-34
"['the family was vacation in location .', 'there were a lot of people selling things on the street .', 'some sold things in their small boats .', 'there was food sold in the street markets .', 'this included lots of fresh vegetables .']","['This family vacation was sure to be interesting, the location unique.', 'Many people lined the street, selling flowers, goods and produce.', 'Some even had goods which they sold from their boats along the dock.', 'Vendors and street markets sold fresh, delicious looking food!', 'Lots of wonderful looking vegetables were included at every booth.']",25-34
